GEO_ID,NAME,GEO_ID_F,NAICS2017,INDGROUP,NAICS2017_F,NAICS2017_LABEL,SECTOR,SUBSECTOR,INDLEVEL,YEAR,RCPTOT,RCPTOT_S,PAYANN,PAYQTR1,EMP,EMPQ1PW,PAYANN_IMP,EMP_IMP
id,Geographic Area Name,Geo Footnote,2017 NAICS code,Industry group,2017 NAICS Footnote,Meaning of NAICS code,NAICS economic sector ,SUBSECTOR,Industry level,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Production workers for pay period including March 12,Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
0400000US01,Alabama,null,31-33,null,null,Manufacturing,31,null,2,2018,137578434,0.21,13356360,3319728,249562,190899,20% to less than 30%,30% to less than 40%
0400000US01,Alabama,null,31-33,null,null,Manufacturing,31,null,2,2019,135383425,0.33,13920285,3422998,251083,191552,20% to less than 30%,30% to less than 40%
0400000US01,Alabama,null,311,null,null,Food manufacturing,31,311,3,2018,11712369,0.60,1057614,270682,30322,25840,30% to less than 40%,30% to less than 40%
0400000US01,Alabama,null,311,null,null,Food manufacturing,31,311,3,2019,11867099,0.62,1162584,298981,33222,28311,30% to less than 40%,40% to less than 50%
0400000US01,Alabama,null,3111,3111,null,Animal food manufacturing,31,311,4,2018,1292176,1.8,65603,16091,1151,813,30% to less than 40%,40% to less than 50%
0400000US01,Alabama,null,3111,3111,null,Animal food manufacturing,31,311,4,2019,1298591,0.1,67024,16425,1169,911,20% to less than 30%,30% to less than 40%
0400000US01,Alabama,null,3112,3112,null,Grain and oilseed milling,31,311,4,2018,2086783,0,56071,12816,882,697,10% to less than 20%,Less than 10%
0400000US01,Alabama,null,3112,3112,null,Grain and oilseed milling,31,311,4,2019,1854511,0,55389,13842,875,672,40% to less than 50%,30% to less than 40%
0400000US01,Alabama,null,3113,3113,null,Sugar and confectionery product manufacturing,31,311,4,2018,99491,0,14915,3368,252,186,70% to less than 80%,60% to less than 70%
0400000US01,Alabama,null,3113,3113,null,Sugar and confectionery product manufacturing,31,311,4,2019,92003,0,0,0,169,0,90% to 100%,90% to 100%
0400000US01,Alabama,null,3114,3114,null,Fruit and vegetable preserving and specialty food manufacturing,31,311,4,2018,10648,0,1302,312,18,10,Less than 10%,90% to 100%
