"GEO_ID","NAME","NAICS","NAICS_LABEL","EAGE","EAGE_LABEL","YEAR","FIRM","ESTAB","EMP","DENOM","ESTABS_ENTRY","ESTABS_ENTRY_RATE","ESTABS_EXIT","ESTABS_EXIT_RATE","JOB_CREATION","JOB_CREATION_BIRTHS","JOB_CREATION_CONTINUERS","JOB_CREATION_RATE_BIRTHS","JOB_CREATION_RATE","JOB_DESTRUCTION","JOB_DESTRUCTION_DEATHS","JOB_DESTRUCTION_CONTINUERS","JOB_DESTRUCTION_RATE_DEATHS","JOB_DESTRUCTION_RATE","NET_JOB_CREATION","NET_JOB_CREATION_RATE","REALLOCATION_RATE","FIRMDEATH_FIRMS","FIRMDEATH_ESTABS","FIRMDEATH_EMP"
"id","Geographic Area Name","2012 NAICS Code","Meaning of NAICS code","Establishment age code","Meaning of Establishment age code","Year","Number of firms","Number of establishments","Number of employees","(DHS) denominator","Number of establishments born during the last 12 months","Rate of establishments born during the last 12 months","Number of establishments exited during the last 12 months","Rate of establishments exited during the last 12 months","Number of jobs created from expanding and opening establishments during the last 12 months","Number of jobs created from opening establishments during the last 12 months","Number of jobs created from expanding establishments during the last 12 months","Rate of jobs created from opening establishments during the last 12 months","Rate of jobs created from expanding and opening establishments during the last 12 months","Number of jobs lost from contracting and closing establishments during the last 12 months","Number of jobs lost from closing establishments during the last 12 months","Number of jobs lost from contracting establishments during the last 12 months","Rate of jobs lost from closing establishments during the last 12 months","Rate of jobs lost from contracting and closing establishments during the last 12 months","Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months","Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months","Rate of reallocation during the last 12 months","Number of firms that exited during the last 12 months","Number of establishments associated with firm deaths during the last 12 months","Number of employees associated with firm deaths during the last 12 months"
"0100000US","United States","31-33","Manufacturing","001","Total","1980","255012","303608","18745186","18799095","31566","10.412","30687","10.122","2210624","765257","1445367","4.071","11.759","2325169","639161","1686008","3.400","12.369","-114545","-0.609","23.518","20796","21005","258463"
"0100000US","United States","31-33","Manufacturing","010","0 years","1980","25937","27369","568271","284136","27369","200.000","0","0.000","568271","568271","0","200.000","200.000","0","0","0","0.000","0.000","568271","200.000","0.000","0","0","0"
"0100000US","United States","31-33","Manufacturing","020","1 year","1980","19240","20430","502320","509215","0","0.000","6386","27.033","112730","0","112730","0.000","22.138","126214","65210","61004","12.806","24.786","-13484","-2.648","44.276","4508","4519","34069"
"0100000US","United States","31-33","Manufacturing","030","2 years","1980","18523","19539","529783","545792","687","3.220","4280","20.060","98691","11644","87047","2.133","18.082","130519","61877","68642","11.337","23.914","-31828","-5.832","36.164","3094","3104","33099"
"0100000US","United States","31-33","Manufacturing","040","3 years","1980","17856","19489","689495","707748","604","2.903","3235","15.550","93885","10900","82985","1.540","13.265","131038","54997","76041","7.771","18.515","-37153","-5.249","26.531","2244","2247","23631"
"0100000US","United States","31-33","Manufacturing","050","4 years","1980","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","060","5 years","1980","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","070","6-10 years","1980","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","080","11-15 years","1980","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","090","16-20 years","1980","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","100","21-25 years","1980","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","110","26+ years","1980","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","150","Left Censored","1980","180733","216781","16455317","16752205","2906","1.299","16786","7.503","1336851","174442","1162409","1.041","7.980","1937587","457077","1480510","2.728","11.566","-600736","-3.586","15.960","10992","11135","167664"
